,0
773,"May be real mein MID acchi lag rhi ho Gagan Bhai par videos mein bilkul out of place lag rhi hai ,  Jaise koi 10 saal purani car se nikal ke fit kar di ho isme..🙄"
774,Want to take revenge from someone gift him second hand skoda . He will die after some time after hearing the maintenance cost 💀
775,Bhai mst h ye gaadi
776,Sir aap har variant ki price bataya kare jisse kuchh help milegi
777,Sir aap har variant ki price bataya kare jisse kuchh help milegi
778,Sir I am very big fan of you
779,Bhai saans lete rehna...😊 Itna josh!!👍🏽
780,Gagan bhai great review one off your best!! U said thud isn't that reassuring in kushaq u mean build quality isn't upto skoda standards??
781,Liked the way you have done this video! Super!!
782,"The new VW play infotainment system is very good, here in Mexico the VW Taos and T-Cross have the VW Play infotainment and it's more intuitive than the old 8 inch screen that you could be found in the Golf, Tiguan and Passat"
783,Diesel kyo bnd kiya skoda ne 😣
784,Its 17 lakhs on road or ex showroom??
785,🤓🤓🙂
786,How much does this one cost?
787,Skoda is 🔥🔥🔥
788,Skoda is well known for Diesel engines and best fuel efficiency not compromising with build quality. Not sure abt petrol...
789,much better than seltos and creta
790,Kya isme air purifier and perfume dispenser hain
791,Millage range?????
792,Are kya bhai camera blur krte rehte ho all the time usase kuch dikhta nhi. Isliye me unsubscribe ho gya. Tum ab bhi vese hi video banate ho. Blur krna chod do or vo fast movement tumehi achi lagti hogi.. mood pura kharab ho jata he
793,wow lovin it
794,Bhai Skoda Rapid TSI ka banao pls
795,"Ever since I test drove Skoda rapid, which shares same engine with one range of Kushaq also, I have become a huge fan of Skoda! Skoda rapid is an SUV soul packed in a sedan body❤️ Now my family is not letting me buy skoda rapid in favour of another popular sedan 😭"
796,Price?
797,"06:09 this button is to select the""lane keeping assistant"" function, which may not be offered in India.
https://youtu.be/DZSxhLKLDSM"
798,I'd go for VW taigun
799,"This is far better than those japanese, korean cheap build, overloaded feature tin car. Waiting for this to upgrade from my VW polo."
800,"Bhai aapne video bade pyar se benaya! Great job!
Bext thing is the price ....which wud be the deciding factor ...lets all wait n watch."
801,Price
802,Best AMT car budget under 6 se 7 lac plz rply
803,Price please??
804,Gagan Choudhary. upto 8 lacs aap konsi car suggest krte ho with good mileage and safty
805,Namaste car🚙
806,is it available to see in Skoda showrooms now?
807,"Gagan Bhai need your help . I purchased new jawa 42.1 but facing problem like rear wheel making annoying sound not all the time and  bike doesn't seems balanced. When you trying to leave the handle it doesn't stay straight not even for 2 seconds. I want you to ask people if they are facing same problem with their jawa42.1 new bike .
I am your subscriber and need your help because dealer is not be able to resolve this issue"
808,Humesha out of focus hoti hai yeh videos
809,"They'll screw up again with pricing.  They are going after jeep , NOT creta or seltos."
810,Price?
811,What's the expected price ?
812,Ask VW and Skoda India why diesels are not being launched in India even when they are using Euro 6 diesels in Europe.
813,Skoda can win if they intelligently place 2 variants out of 5 under 10L. They can actually out perform everyone with this price strategy.
814,Safety is the only concern.. hopefully they have not compromised on that..
815,If they priced this between 9 to 14 lakhs it will eat creta and seltos
816,"Spare wheel of smaller size is like a very disappointing thing for me 
I believe they could do better in it"
817,What is the kmpl of this car
818,Creata ke sath competition karna hai to price aggressive rakhni hogi skoda ko ..
819,S ii
820,Diesel engine nhi hai ;(
821,Did you see any options on ambient lighting like octavia? Zac Hollis mentioned that kushaq will come with ambient lighting but not a single review covered it so far
822,Grill copied from Kia Seltos
823,I think Skoda and Volkswagen has speciality over Hatchbacks and sedans... but in terms of SUV i think JEEP COMPASS leads!!!
824,Impressive Gaganbhai....keep it up
825,Good review
826,Is it FWD or RWD?
827,I have doubt about build quality.
828,https://youtu.be/CcWruW5Mm1M
829,Speak English
830,"Kesa ghatiya quality ka video bnaya h yar , baar focus unfocus ho rhaa n"
831,"TBH you are the finest car reviewer in India, the way you give reviews shows that how deeply you observe things in cars which is a rare quality. Your videos always worth watching, I skip other car reviewer's videos just to see yours because after seeing yours I don't have questions lefts like watching others."
832,Khusaq will be tough competition to seltos n creta
833,"legend know what is Skoda... little boys go with maruti, hyundai ."
834,U are best teaching cars
835,That crazy rugged (white) phone is an iPhone with a LUNATIK CASE on it. 😅😅😅
836,No panaromic sunroof surprisingly
837,"KUSHAQ  means KING in Sanskrit, in case you want to know it :)"
838,I love this  car
839,Best part was that u explained the difference in all  three variants.
840,Pura cost cutting kiya h skoda ne
841,Will it gets uv cut glasses?
842,This is 1.0 l engine right ?
843,Bootspace extra 100 litres means it will win definitely❤️👍
844,VW ki saari cars quality ki to hain ye to mana padega
845,"Skoda and Volkswagen after sale services are horrible and too expensive spare parts.
Better to buy Toyota or Honda more reliable vehicles and they also provide very good safety features.
Dont waste money on these brands.
Can really save lots."
846,Price will be the deciding factor
847,"संस्कृत name , intresting 🔥🤩"
848,Es beauty ko road pe lao
849,But....
850,Which colour is this carbon steel or reflex silver? @gagan choudhary
851,Loved the instrument panel. Analog looks classy.
852,Sounds like Tushar 😂
853,Sir india me skoda ki services kesi hy. Car lene ke baad services ka kharcha moderate hy ya zyada hy?
854,"Only thing I hate with vw and skoda , they don’t produce Diesel engine from past 2 years"
855,Skoda ka kushak desiel ayga kya?
856,"ऐसा लग रहा है कि आपको रिव्यू करने की बहुत जल्दी है।
Just calm down bro...😎🤓"
857,Super detailed review
858,1 liter Ka engine.... The most disappointing thing
859,I see your  in salil vid
860,"Hey, nice presentation. Can you please tell me about the camera and lens you used to shoot this? The video quality is really great. Thanks!"
861,I Definitely buy this car if it come in diesel.
862,"I would say , Ford  Ecosport still dominates."
863,He talks like he’s going to miss a train. Calm Karja
864,Hey Gagan Make a Video on RE classic 350 & Yamaha MT 15
865,"KIA IS CHEATING INDIAN CUSTOMERS. SELTOS HAS A SAFETY RATING OF 3 ONLY (ACTUALLY JUST 2 ONLY,  2.75 ROUNDING UP TO 3) AND WITH A CABIN STRUCTURAL INTEGRITY RATED AS UNSTABLE!!!!!!!!   CRETA MAY GET THE SAME RATING BECAUSE BOTH SHARE THE SAME PLATFORM. FEARING THAT ,HYUNDAI TILL NOW DID NOT SEND CRETA FOR NCAP CRASH TEST. REMEMBER THAT NEXON WHICH IS A SEGMENT BELOW GOT 5 STARS AND NISSAN MAGNITE GOT 4 STARS. KUSHAQ MAY DEFINITELY GET A 5 STAR RATNG."
866,Skoda should be provide diesel engine..
867,10:50 V3 cars' rugged phone
868,Car looks so premium! Price 😂 india:- baad mah aana...Maruti Alto 800 😎💰
869,I think tata Nexon is better than kushaq
870,Price kab unveil hoga??
871,The sunroof extends further if you keep the button pressed. My fabia has same feature that's why I am saying that.
872,Skoda=audi= volkswagen
873,"Skoda went from names like Octavia Fabia Superb to Karoq Kushaq Kamiq. 

VW went from Polo Jetta Passat to Taigun Tiguan TRoc.

Mahinda and Tata still rolling on with Thar and Safari."
874,Can't beat CRETA
875,"Tell Skoda guys dont be greedy, 1st launch the car with very low price since 90% parts are localization,  rest this youtubers wont make your car premium unless Skoda doesn't think like Maruti
."
876,No one will buythis car...
877,Skoda karoq ki information baatayi .
878,Very pathetic service provided my Skoda india
879,The style is drop dead gorgeous
880,This is made in our home land @aurangabad
881,Was waiting for ur video only finally 🔥🔥 i love it
882,Why Skoda is not coming with diesel engines
883,Sad that this car will fail in front of Creta just coz of the reason that it doesn't have a panaromic roof
884,Car is good but hope Skoda didnt price it just like karoq which make good product flop.
885,I have Skoda rapid tsi service price is effordable and experience is also good ❤️
886,Altroz xz  variant
887,"A Skoda which looks Kia from inside. Quality compromise nhi krna chahiye yr , uske liye hyundai vgerah already hai"
888,Service quality is a big question.
889,"Guys please check the dealer. If he is really trustworthy only then put your foot forward.
After doing so much research on which car we should finally buy, we opted for Skoda Rapid style automatic Petrol, and here are we today regretting for the same.
Think twice before you buy.
After sales service from Skoda is pathetic.
From day one there is some or the other problem but no one to rescue.
Dealer gave me fake price quotation, & cheated more than 75000/- 
Also not gave us the second key of my car. 
Collected 1% TCS i.e. 12000/- as per government norms & didn’t deposited in government till date.
I am feeling completely cheated by Skoda and do not know what to do with my car.
So, request all those who plan to buy Skoda to reconsider their decision and ensure they have adequate reasons to buy."
890,"Very poor and low quality interior, at least for top model quality should have kept better
This looks competition for venue and sonet and not for creta/seltos"
891,"Even though the pricing is competitive, the quality doesn't looks great. There's nothing fascinating about the interiors. That standard set by Creta, Seltos, Harrier and Hector, this doesn't comes close. German car k naam par sub standard product."
892,Skoda 2.0 flop hote hue nazar aah raha hai
893,Seltos>>kushaq
894,Price
895,Skoda kushaq same as look like Creta 2017
896,"Sasura 100/- ltr petrol ho rha h.
Kisi time mein diesel petrol mein 21₹ ka difference hota tha.
Na bhaiya na petrol suit na karega.😂😂"
897,डिझेल चाहिए
898,Bhai all over look bhi gadi ka dikhaya kro achhe se
899,Guys... skoda claims that most parts are indian made... so let's hope from 9 L-16 L lakhs ex showroom
900,"No all one touch window that’s a basic for last model 😑,I’m out for this one (my rapid style is much better than this)😓 disappointed"
901,"10 lac price wil b  very attractive and competitive for all SUV 
Wil create new history if around 10lac price"
902,That instrumental cluster kinda looks outdated.. Except that everything is top notch.
903,Start some more road trips for new channel #Ghumakkadgagan 🤔🤔🤔🤔😂😂😂😂😂
904,#Ghumakkadgagan Lost
905,"Namaskaar gagan bhai
.. ✌️"
906,"Gagan, how is khusaq should anyone should wait for it or creta is still the winner and one should go with Creta"
907,It should range not more than 12 lacs as compared to competition in the market
908,I love the skoda design. Elegant and no nonsense designs. If pricing is good this will be my next car
909,Gagan bhai... Kia Seltos version 2 kaap launch hoga? 🤔
910,Skoda mehanga THoda 😜😜
911,Car bahar Se thik se dikhaya bhi nahi hai...
912,Kaha se mil jati hai aapko nayi nayi car
913,What kind of review is this? Why are there comments without familiarising about the features? Amateurish.
914,Arun Panwar :- Kia kyu nahi lii ?
915,Flop show just like Kicks. Its dimensions are on par with Brezza and Venue. They should have squeezed it into Sub 4m or should fight with S cross. No chance against Creta and Seltos
916,Wow! great quality of camera👍🏾
917,Instead of buying this i can spend 2 more lks and go for the beast tata harrier
918,"It's a jackedup fabia. Small, Karoq would have been ideal size. Rather than making a new one, Karoq could have been localised, with an diesel option."
919,Please review jeep compass s top model make complete video on road and off road
920,Aapko video bnani aachi Tarah se Nahi aati
921,Try to keep videos of short duration.
922,Around 10 to 15 lakh
923,Prices should be low
924,"Skoda Kushaq Found testing in Pune 
https://youtu.be/JwuN4DR9q80"
925,❤️🔥🔥
926,"What a stupid feature miss.
Only driver side auto up down. 
Skoda and VW had this very useful feature standard on top variants and I, for one, use and appreciate feature a lot."
927,It should not be priced more than 16 lakhs
928,We want TDI diesel back
929,U cant complain skoda about quality 😁😁.
930,"What's new in this vehicle,even 9 to 11 lakh card like i20 have more features than this kushaq,it can compare with EcoSport and nexon,"
931,If its price between 11 to 16 lac then it becomw succesful but if its price become 12 to 17 lac Chance is very less 😆😆🤘🤘
932,poor mans brand in India that is skoda !!!!
933,Why tf it has 2spoke steering wheel 🥺🤦
934,12:04  ' Gazab Thud Nahi Hai '... Welcome To India
935,✌✌✌✌✌👌👌👌👌💖💖💖nice video
936,"2021, no digital MID, no driver side electric seat adjustment, no rear seat incline adjustment, boot very very poor capacity. Rumour price close to 20lkhs😭🙄"
937,The perfect SUV with lot of features
938,Disappointed
939,Please explain electric scooter and bike ......ab hum or patrol nhi le payng
940,Beautiful
941,"So detailed review ❤️❤️❤️
Thank You Gagan Ji"
942,Seltos is still unbeatable❤
943,"Gagan sir please
Make video on BMW r310g bike"
944,Hyundai Elantra review video banao
945,You sound breathless. In a hurry?
946,"No diesel no chance 😂
... Big mistake of VW group to discontinue TDI engines"
947,"Interior is not upto the mark, very dull and outdated"
948,Does NISSAN Magnite MT XV model Non Turbo has hill assistant?
949,Can we expect L&K variant?
950,No diesel so sad
951,Skoda reliability is questionable. Better to go for Korean or Japanese brands.
952,Gagan Bhai always rocks
953,Please review the  Mini Cooper Countryman new model 2021 S JCW
954,Can't accommodate 3 people comfortably  in the back seat is a big let down👎
955,Jeep wrangler ka review kab krenge sir?
956,Most underwhelming design and features in the class. 😏
957,"Gaganji your voice is soothing, I like to hear reviews in ur voice par aaj apne sedha chabi, headlight aur grill pe Close-up le liye. Pehle bar car dekh rahe hai hum toh ek dor se circular walk-around toh banta hai taki andaz toh lage suv hai ya hatchback ko lamba kiya hai.. I hope u understand as we can only see what u show us as we r not there.
Baki gaadi badheya hai bas thodi aur upright aur height hoti toh jyada Suvish lagti(i had to see other reviews to understand this🙄)"
958,I want to buy VW taigun.please do that review also
959,keep it up bro
960,"Garib bhai,

Ek baat batayoo car review mein ""YEH LOGO"" hai bolna jaruri hai kya?? 

Haar video mein aisa kyu bola jata hai koi reason??"
961,Phone is from v3 cars 10:50
962,Bhai ye event mere office me hua Jw sahar me aap mujhe mile kyu nahi ?
963,"I bet ladkiyon ko serf skoda ki ek he car pasand hogi, any guesses? Ofcourse its skoda laura🤣 samajh rahe ho?"
964,Gagan bhai aajkal bahot he jaldi me rehte hi aisa lagta hai aapko sun k try to little calm
965,Diesel hota toh aur bhi maza aa jata
966,"Welcome to the indian car market, where even Skoda had to reduce the quality of the interiors to sell it’s cars

PS - people still crying over panoramic sunroof."
967,Price matters...guys 2021new  Scorpio or Skoda kushaq?
968,Will it have heating issues ?
969,Reliance retail + jio Mart.... Jio will rule
970,Diesel require .
971,Way too much cost cutting.
972,Ye quality cheap lag rahi hai wrt skoda standards. Manual should be 17 lacs on road max. Orelse no ways am going for a downgraded yet expensive skoda. Yehi lena tha to seltos le lete. Features bi zyada mil jayenge wahan.
973,Love from Lucknow I really like your all videos 👍👍
974,Gagan bhai runnig out of breath!
975,If this car is in 12L - 17L...& if deliverable in April. . Thn I will cancel my booking of seltos & go for this.. Superb car hai boss.. No doubt
976,Which one is good in space or driving ecosport or nexon please help
977,Make another video with driving review and price
978,Ground clearance?
979,"As far as Indian consumers are concerned,  may be after driving test 1.5 Litre Turbo Charged may compete with Jeep Compass petrol"
980,Looking is not good
981,"I think they should have launched it in diesel varient also , otherwise this is car is amazing, going to give a tough competition to creta and seltos. 
And one more thing i didn't understand that what was the purpose for the flip key when it has the push button?"
982,Brother Please do review on NEXON EV
983,Dimensions kya hai.
984,phone v3cars walo ka h
985,price acchi rakho agar market mein rena hai
986,"Top end will b close to 22laks as per my expectations , it might b slightly more than seltos"
987,"Finally rate is here❤️❤️❤️❤️❤️
On road price
10.75
11.57
12.45
13.50
14.33
15.20
16.11❤️❤️❤️❤️❤️❤️❤️"
988,"Finally rate is here❤️❤️❤️❤️❤️
On road price
10.75
11.57
12.45
13.50
14.33
15.20
16.11❤️❤️❤️❤️❤️❤️❤️"
989,steering wheel 3 spoke me dete ya 4 spoke me to accha rehta
990,Can anyone help me actually I bought a second hand ecosport 2013 titanium plus when I lock unlock the car using the key only indicators blink and car gets locked but I don't get any beep or sound how can I enable that beep sound plz help
991,This car is totally copied from lamborghini URUS
992,"Creta is giving panaromic sunroof and other good features at 15 lac, kushaq is there with a normal sunroof like compact suv. Price should be adjusted accordingly."
993,Sir plz Jeep Compass 2021 ka petrol ka rivew laaoo
994,Skoda  interior lamp buttons  are of  cheap quality
995,i can buy this second hand after 3 yrs for 4 lakhs😆
996,This is the information we needed
997,If price is near 9lkh it will grow other wise again low sales
998,Show a full view of car atleast so that we can see watever you are saying
999,"just don't be too happy about it....
the model you are seeing cost around 19-20 lacs on road , that too in petrol....

Real competition against Creta/Seltos would be of :
Base model features ,  
petrol mileage and 
right pricing...."
1000,Seltos is way way better in terms of features and looks and engine options
1001,"SKODA KUSHAQ Trim levels info. Based on information from PRESS Kit.


Standard features:
	- 2 front airbags
	- All head rests are height adjustable
	- 3 point seat belt in rear center seat , ISOFIX 
	- Two spoke multi function steering wheel, steering mounted controls
    - Central locking, remote key
    - ESC (electronic stability control)
	- Rear parking sensors
	- 6 speakers as standard
	- LED reading lights front and rear
	
active:
	- 16 inch steel wheels with covers
	- Lights Front upper section: halogen low and high beam
	- Lights Front lower section: LED day time running lights 
	- Under body protection : black
	- Roof rails : black
	- Rear diffuser : black
	- AC : no touch panel  (Auto/Manual ?)
	- Infotainment :
		- 7 inch touch screen , built-in microphone, bluetooth, SmartLink, 
		- Skoda connect, app store, wired connection
		- USB type A for data transfer and charging
	- Ambient lightning 
	
ambition:
	- 16 inch alloy wheels 
	- Lights Front upper section: LED low and high beam , LED DRLs 
	- Lights Front lower section: Indicator with classic bulbs and fog lights
	- Under body protection : silver finish
	- Roof rails : silver
	- Rear diffuser : silver
	- Leather wrap steering and gear stick
	- Chrome plated door handles 
	- Automatic with shift paddles
	- Cooled glove box
	- Rear armrest with cup holders
	- 60:40 rear seat folding
	- Sunglass holder 
    - AC - Auto touch control
	- Infotainment :
		- 10 inch touch screen , 
		- Dual tuner, external microphone, GPS receiver
		- Wireless connection - no cable required
		- 2 USB type C for Charging 
		- Can play loss less FLAC and WMA files
	- Ambient lightning also on dashboard and door handles
	- Rear view camera
	- Front sensors
	

style :
	- 17 inch two tone alloy wheels
	- chrome plated window frames
	- Ventilated leather front seats
	- Electronic sunroof
	- Keyless entry
	- Auto dimming rear view mirror
	- Wireless phone charging
	- Phone pockets in back of front seats
	- Chrome package for instrument panel, gear stick, handbrake button.
	- leather look central armrest and door armrests.
	- SKODA high performance sound system with amplifier and subwoofer

Optional:
 - 6 air bags (2 standard + 4 extra)
 - Tyre pressure monitor 
 - Hill hold control"
1002,"Ok so few things almost all the reviewers missed are that this is a Skoda and not a Hyundai of Kia. So features like pan sunroof, digital cockpit, all LED light setup in front and back, smaller bezel and a larger screen for infotainment would come as an update features in upcoming years to keep the car refresh. And Škoda has cleverly kept the relevant features like venti seats and a sunroof to give a dent to rivals. Maybe Škoda should roll a VRS variant as well 😅."
1003,1 litter engine torq is 175 nm
1004,If on road 12 to 18...this is the car U have to buy instead creta and seltos
1005,Creta still stands tall 🤟🏻🔥. If this is the top model here then even creta sx provides better vfm than this.
1006,Nice review! Seems more like a loaded-with-features crossover than a direct competition to Creta and Seltos! In the league of S Cross with 2021 features!
1007,"I drive the Skoda Superb and I can say this car lacks the proper Skoda charm, they have reduced the quality levels here..."
1008,Good best
1009,"Features ke samne mat bhagna jese ki creta aur seltos 
Agar quality chahiye to skoda se  achha option nahi hey👍 seltos ki 5 star mese 3 star ki rating hey"
1010,"bhai Jeep Wrangler ka bhi video banao..
Abhi launch hui h India Main manufacturing bhi hui h"
1011,The perfect SUV design for all the SUV in this price range
1012,Which Cars Kushaq will compete with.?
1013,Seltos sleepless nights are coming
1014,"Personally -Better than Seltos 
What say viewers ?"
1015,Please get Skoda to add Lapiz Blue or Lava Blue as one of the colour schemes for the Kushaq! Was really hoping they'd do that right at the launch... Fingers crossed : )
1016,Without diesel engine? Don't know how much it sell
1017,"Should undercut creta then it'll be an attractive package... Despite being smaller, shorter, narrower but mind u feels more premium & plush"
1018,video is very blurry.
1019,"स्कोडा होता है भाई ,,शकोडा नही"
1020,Yeh pitegi buri tarah...suv mein diesel engine ka option bhi hona chahiye...iski width kam hai
1021,Aap k time kisi na kisi ka phone mil hi jata hay RR discovery may bhi tah😅😂
1022,Indian cost cutting is the real shit in the car industry.
1023,very nice walkaround... in fact the best i have seen so far. You touched upon all the relevant points.
1024,"If in case the price goes in between 12-17 then India would like to go with Jeep, Tata & Honda 🙂"
1025,Flop . Bcz there is no diesel variants
1026,sir skoda superb le ke aao please♨♨♨♨♨😉qq
1027,Amazing.! Watched on WhatsApp. Came here to like 👍 it.
1028,boot space isnt it good for sleeping when we go outings sometime for enjoyment
1029,Bhai fortuner ki video banao
1030,"Sir, kya space acchi hai 5 logo ke liye ?"
1031,i knew the pricing is from 10-17 lacs.
1032,I had 2 skoda cars laura and rapid but now only rapid... having skoda experience before was great but now skoda is trying really hard to sustain in indian market... I would never ever buy any skoda car in future.
1033,Paice
1034,Steering wheel not that attractive looking like old alto
1035,Quality dakho
1036,"Bhai ke paas 1.5 ltr engine top variant hai, jo autocar ke paas bhi nai hai"
1037,"Dct cant touch dsg ever , dsg is the best"
1038,"If it launches with aggressive pricing just like rapid , then it will be game changer."
1039,385 litres of boot space?! That's it?! Thats very less
1040,Is there any options for gear other than manual with clutch.
1041,Everything depends on after sales service and Skoda provides the worst after sales service compared to ANY OTHER brand in India. People who buy this car are only going to regret it. I was a skoda owner for 8 yrs and their after sales serbice is garbage
1042,"Service pe depend karegi Gagan bhai. Kesi bhi gadi nikal de skoda.Mere pass skoda rapid thi 1st gen wali, kagi pareshaan tha uski service ko leke. Costly or gadi service bhi 2-3 din me hoti thi & aaj bhi inki service aisi hi h."
1043,"""Ignis ka Ad aa rha hai isme"" stole my heart ! Epic !!"
1044,Digital consol so normal
1045,Tpms and front parking sensors available only as accessory? Matlab top model leke bhi we'll have to pay extra?
1046,"Namaste gagan sir , plz make the video of Isuzu v-cross🙏"
1047,12:56 shut the fu*k up armrest 😂😂😂
1048,Pls bring diesel engine
1049,The small gap in front of the hand brake and the cup holders is for the key. Not for mobile phones
1050,I'm buying it...waiting for the bookings to be opened...
1051,Nice car
1052,"People - Škoda Kushaq can defeat creta
Me - thinks of the time when Tata fans told the same about next gen i20 but that never happened"
1053,"Sad speedo console. Smaller and cheaper vehicles have better speedo console. No thud, hard plastics, fit and finish not on par with Skoda quality,) is this the outcome of localisation? Why? Just plonking a good engine and sticking a badge won’t make it good overall. Now pricing will decide it’s worth"
1054,Asp healthy ho gaye hai our mote ho gaye hai
1055,Video not shoot properly I think camera focus issue 😂🤣🤣😂
1056,Skoda cars are very solid
1057,Better thud to apko swift me aayega bhai
1058,"Skoda , Jeep , Fiat , Tata , Volkswagen , Audi , Mahindra&mahindra , Bajaj-KTM , Mercedes , GM/Great wall motors  all these auto giants have their headquarters in & around Pune & Mumbai city in Maharashtra thats why these first unvealed units of cars come with MH01 , MH02 , MH14 , MH12 , MH20 RTO registrations. The reason is Pune and surrounding area has large number of third party OEM Parts supplier Vendors. And very soon KIA Motors India & Hyundai India are also starting their manufacturing plant in Pune Maharashtra. Even Maruti Suzuki of Gurugram had finalised to start manufacturing in Pune Maharashtra but because of political influence it was started in Kapashera & Manesar in Gurgaon Haryana"
1059,Will  honda civic available in india
1060,"You are ""NATIONAL BRAND AMBASSADOR FOR CAR REVIEWS""...  ( ur way of explaining is great bro 👍👍 )"
1061,भाई साहब पहले कैमरा थोडा दूर रखकर पूरी गाडी के सिनेमेटिक दिखाईए  कार के चारो तरफ घूमकर कवर किजिए या किसी की हेल्प लेकर भी कर सकते है
1062,It sounds like *poshaq* 😂 पोशाक
1063,Price kya rahega Gagan bhai ?
1064,Gagan bhai kushaq mai cruise control nahi hai kya ???
1065,Ford territory ka review krdo sir 🙏🏻
1066,Clear nahi dikh rah Side me
1067,"Price should  start from 9lk then only it can find more place among Indians, coming to rewiev its more detailed and pleasant...."
1068,3:14 That Bonnet Thud 🔥🔥🔥
1069,Arrree vai gari ka overall looks toh dikhao...
1070,There's like 6+ inches of headroom and he says headroom is cramped? Ok quite an interesting analysis. Plus can you please confirm if all the windows are not one touch up down? The button for the windows look like it's one touch.
1071,Wahhh goodyear ke tyre... Or koi company ni mili thi?
1072,"गगनजी गाड़ी बहुत ही शानदार है यार डीज़ल इज़न नही आया 
हम इसके डीज़ल इज़न का इंतज़ार कर रहे थे 
अगर डीज़ल आती तो 100% लेते यार
स्कोडा के टॉप मैनेजमेंट को हमारी मांग को पहुचाओ
Plz"
1073,"Gagan bhai, kal ek khatarnak Sapna dekhe yaar subeh subeh. Aap aur main ek trolley ka review kar rahe the jo shopping mart me use hoti hai, aur maze ki baat ye ki uski upyogita ko hum usme Gas Cylinder rakhke prove kar rahe the. Mazak nahi kar raha, sach me dekha. sapna."
1074,"In this segment, Skoda has to get the pricing right. If it can undercut kia pricing by atleast 1.5 lakh per variant then this car can easily sell about 3000 units a month with majority of its units being sold in tier 1 cities. However SV group needs to increase dealerships to tier 2 and tier 3 cities this car will be able to sell about 35k units in a fiscal year. This should be Skodas goal."
1075,What happened to illuminated grille and logo? Can I fold the rear seats?
1076,Big miss by skoda in interiors...boring gray color of interiors and old fashioned analog instrument cluster..nothing special to compete with other rivals
1077,There is a cruise control in the car?
1078,Better name this Skoda kostkuttingq
1079,Lots of love ❤️
1080,Mast nahi laga
1081,Price Kay hai ?
1082,Namaskar dosto tera nam he gagan
1083,When they'll announce the pricing!!??
1084,"Look amd feel me very rich lag rhi h, mujhe lgta h seltos ko tagda competition degi."
1085,"honest question, why is the title and everything else in english when the actual video is in another language? not trying to start anything just curious, good video otherwise, it looks like a nice car despite the fact that i couldnt understand anything"
1086,You are definitely the most in depth Hindi car reviewer on YouTube
1087,Yetoh Karoq hey . Couldn't beat Nissan Magnite's design
1088,Ye car sab car ki watt laga de gi kusaq se Skoda stand ho jaega
1089,2:36 fuel fill karne  ka option hain. 😂
1090,Best review of kushaq... All aspects included...
1091,Looks small
1092,"Never buy a car that offers only a space saver spare tyre. 
Demand from the dealer that they provide you with a full size spare and if they refuse, simply walk away."
1093,Will the 1.0 liter engine be priced just above Sonnet and the 1.5 liter engine at Seltos price or 1.0 liter itself will go to Seltos level on Road.. any idea?
1094,Car look good not good from inside.
1095,10:55 😂😂
1096,"Base model should be at 9.99 lacks.
Otherwise other tincans will maintain the 1 leap ahead of it🌝"
1097,"No Way !!🤢
Still SMALLER than creta?
Expected 2b bigger than Seltos, 4325 not 4225 !
Šköda ur LÖST!!
India 2.O strategy- double faliüre!!
Who d heck is Leading 2.O
Don't u remember, "" Bada hay toh Behtar hay/ Big is Better""
This is India not E.U., SAFETY 2nd priority SIZE 1st; change ur 5S strategy's From SAFETY to SIZE!!
Moreover ppl here buy ZeGalander Wagan (Merc G-wagon) for SIZE not SAFETY even at ₹25Millon.
BTW which car is 5star safe at headÖNcollision at 100km/hr in the WORLD ?"
1098,"What! Front parking sensors optional hai😱  yr Tiago tk mei sensors sbhi variants mei milte hai,"
1099,You really great bhai Hyundai Sonata car ki video bano
1100,"if this comes at 10 l starting point,  I will sell my 2020 creta to buy this"
1101,Kam se kam 22 lack se 30 tak hoge 🙄 15 mi skoda 😉😁😁😂
1102,"Educated buyers will definitely prefer this over Creta and Seltos. Cars like Taigun, Karoq, T-Roc, Kushaq, Compass are pure class, safe & have unmatched turbo Petrol Engines."
1103,"Why Skoda why? Why didn't you put rear disc brakes. Why :( 
With this launch it's safe to say Taigun will also miss out on rear discs."
1104,What great clarity 👍 Great video
1105,Diesel option hona chahiye
1106,You have more views on kushaq than Autocar india... Impressive
1107,"Excellent review Gagan, better than any other today on Kushaq. You have covered minute details as well. Somehow don't feel Skoda has done a wholehearted job. They should have come out full force to outsmart their rivals by providing virtual cockpit, Pano roof, paddle shifters, drive modes, rear sun blinds, all disc brakes and last but not least better boot space. Not sure this will create any dent on Koreans which are still much better equipped. Hanging on to drive and build quality alone won't get them customers I feel."
1108,thank god airbags accessories main nahi lagane padhange
1109,Do we get ambient lights in the package...???
1110,Bhai as always most detailed and best review
1111,I guess skoda is experimenting with few cost cutting and cheaper stuff to increase car sales....which is consider good because skoda ka cheap maal bhi kia aur creta ke premium maal se acha hai 🤣👍🏻
1112,1.5 liter is naturally aspirated?
1113,"HI gagan,  i recently bought used elite i20, Asta 2018 model, but later i found there is no map SD card in AVN. i contacted the owner he said he never used navigation system ever... i also visit nearest Hyundai center but they advise to buy new SD card which cost 9000rs, i'm not ready to spend 9000 just for maps.  is there any alternate that i can get map data and use in 3rd party SD card and use it in AVN system...pls suggest..."
1114,"VERY INFORMATIVE 😊 BUT MY CONCERN WAS BACK SEAT HUMP USUALLY ALL VIDEO MAKING PEOPLE MISS THAT, I BELIVE HUMP IS NOT FOUND IN MAHENDRA & HECTOR SUV. IT IS REQUESTED ALWAYS SHOW DETAILED INFORMATION LIKE CAPLESS FUELING ALWAYS OPEN FUEL CAPS,   SHOW THE SIZE OF HUMPS IF THEY EXIST"
